月份,平均購屋貸款利率_(年息百分比率),每戶可支配年所得_,CPI_,失業率,公寓單價_平均,公寓單價_中位,公寓成交_(棟),住宅大樓單價_平均,住宅大樓單價_中位,住宅大樓成交_(棟),透天厝單價_平均,透天厝單價_中位,透天厝成交_(棟),遷入總人數_(人),遷出總人數_(人),city,year,month
2014.01,1.963,1152523,94.18,3.9,13,12,135,18,17,1471,38,34,640,3259,3814,臺中市,2014,1
2014.02,1.97,1152523,93.81,3.9,13,12,116,18,15,1403,38,35,594,3259,3814,臺中市,2014,2
2014.03,1.967,1152523,93.99,3.9,12,12,238,19,17,2105,38,34,1064,3259,3814,臺中市,2014,3
2014.04,1.956,1152523,94.62,3.9,13,12,198,18,17,1976,37,32,1203,3259,3814,臺中市,2014,4
2014.05,1.961,1152523,94.76,3.9,13,12,185,18,16,1539,39,35,885,3259,3814,臺中市,2014,5
2014.06,1.956,1152523,95.25,3.9,13,12,176,18,16,1917,39,35,969,3259,3814,臺中市,2014,6
2014.07,1.958,1152523,95.22,3.9,13,12,159,18,16,1529,39,35,893,3259,3814,臺中市,2014,7
2014.08,1.963,1152523,95.64,3.9,14,13,162,17,16,1368,41,35,794,3259,3814,臺中市,2014,8
2014.09,1.972,1152523,95.59,3.9,13,12,164,19,16,1482,39,34,843,3259,3814,臺中市,2014,9
2014.1,1.977,1152523,95.66,3.9,13,13,165,18,16,1674,38,35,870,3259,3814,臺中市,2014,1
2014.11,1.959,1152523,94.78,3.9,13,13,148,18,17,2232,37,32,816,3259,3814,臺中市,2014,11
2014.12,1.962,1152523,94.46,3.9,14,13,147,18,17,2000,38,33,1077,3259,3814,臺中市,2014,12
2015.01,1.985,1169183,93.3,3.7,14,13,110,18,16,1635,41,36,573,3155,3769,臺中市,2015,1
2015.02,1.984,1169183,93.62,3.7,13,13,72,18,17,803,42,39,396,2420,3211,臺中市,2015,2
2015.03,1.99,1169183,93.41,3.7,13,13,154,18,17,1313,40,36,754,3833,4965,臺中市,2015,3
2015.04,1.986,1169183,93.84,3.7,13,13,174,18,17,1385,40,33,790,3153,4421,臺中市,2015,4
2015.05,1.981,1169183,94.07,3.7,13,12,142,19,17,1339,39,33,740,3517,4509,臺中市,2015,5
2015.06,1.983,1169183,94.72,3.7,14,14,134,18,17,1275,40,35,681,3209,4468,臺中市,2015,6
2015.07,1.976,1169183,94.62,3.8,13,13,147,18,16,1276,39,35,683,3593,5337,臺中市,2015,7
2015.08,1.974,1169183,95.21,3.8,17,15,127,18,17,1025,39,34,615,3391,5759,臺中市,2015,8
2015.09,1.964,1169183,95.87,3.8,14,12,104,18,17,901,40,34,492,3027,4070,臺中市,2015,9
2015.1,1.911,1169183,95.95,3.8,13,13,142,18,16,1015,38,33,674,2638,3363,臺中市,2015,1
2015.11,1.906,1169183,95.29,3.8,13,13,115,18,17,1316,41,36,997,2401,3079,臺中市,2015,11
2015.12,1.895,1169183,94.58,3.8,13,12,152,19,17,1277,41,34,956,2518,3062,臺中市,2015,12
2016.01,1.852,1140325,94.05,3.8,14,13,104,18,17,773,40,34,480,2753,3612,臺中市,2016,1
2016.02,1.835,1140325,95.88,3.8,13,12,59,19,18,569,40,33,324,2416,3370,臺中市,2016,2
2016.03,1.816,1140325,95.29,3.8,13,13,121,19,18,1150,41,35,662,3359,4166,臺中市,2016,3
2016.04,1.74,1140325,95.6,3.8,14,13,122,20,18,1289,43,37,659,2647,3589,臺中市,2016,4
2016.05,1.731,1140325,95.23,3.8,14,13,120,19,17,1261,41,36,708,3182,4313,臺中市,2016,5
2016.06,1.724,1140325,95.57,3.8,14,13,123,19,17,1137,41,36,743,2852,3767,臺中市,2016,6
2016.07,1.695,1140325,95.79,3.8,14,13,149,18,17,1136,39,35,724,3002,4075,臺中市,2016,7
2016.08,1.684,1140325,95.75,3.8,13,13,104,18,17,1023,39,35,634,3425,4630,臺中市,2016,8
2016.09,1.669,1140325,96.19,3.8,14,14,113,18,17,1234,41,36,666,2966,3963,臺中市,2016,9
2016.1,1.661,1140325,97.58,3.8,13,13,118,18,17,1092,40,35,683,2518,4116,臺中市,2016,1
2016.11,1.678,1140325,97.17,3.8,14,13,95,18,17,1007,39,35,679,2525,3678,臺中市,2016,11
2016.12,1.659,1140325,96.18,3.8,13,12,143,18,17,1277,39,35,849,2754,3620,臺中市,2016,12
2017.01,1.674,1245350,96.16,3.6,14,12,97,16,14,1420,41,35,535,2455,3318,臺中市,2017,1
2017.02,1.668,1245350,95.82,3.6,15,14,79,19,18,1013,39,35,493,2869,3766,臺中市,2017,2
2017.03,1.665,1245350,95.46,3.6,14,13,144,19,17,1446,41,37,770,3262,4307,臺中市,2017,3
2017.04,1.666,1245350,95.69,3.6,14,13,165,19,18,1565,40,37,829,2596,3408,臺中市,2017,4
2017.05,1.655,1245350,95.8,3.6,14,13,148,20,19,1764,41,36,822,3050,4097,臺中市,2017,5
2017.06,1.647,1245350,96.53,3.6,13,13,125,19,19,1596,39,36,688,3109,3742,臺中市,2017,6
2017.07,1.642,1245350,96.53,3.7,15,14,148,19,18,1513,40,36,681,3057,4059,臺中市,2017,7
2017.08,1.638,1245350,96.67,3.7,14,14,134,20,19,1652,40,36,794,3546,4897,臺中市,2017,8
2017.09,1.633,1245350,96.66,3.7,14,14,126,21,19,1425,44,38,644,2972,3745,臺中市,2017,9
2017.1,1.627,1245350,97.26,3.7,14,14,138,19,18,1808,45,37,764,2251,3084,臺中市,2017,1
2017.11,1.63,1245350,97.5,3.7,14,14,144,20,18,1829,42,39,807,2432,3316,臺中市,2017,11
2017.12,1.632,1245350,97.35,3.7,14,14,146,19,18,1880,40,36,884,2519,3585,臺中市,2017,12
2018.01,1.635,1279865,97.02,3.6,14,14,129,19,18,1815,41,38,764,3065,4236,臺中市,2018,1
2018.02,1.633,1279865,97.93,3.6,14,13,77,20,18,988,46,42,461,2158,3337,臺中市,2018,2
2018.03,1.628,1279865,96.98,3.6,14,13,157,19,18,1908,43,40,838,3617,4984,臺中市,2018,3
2018.04,1.629,1279865,97.61,3.6,15,14,144,76,18,1956,42,37,725,3134,3621,臺中市,2018,4
2018.05,1.627,1279865,97.48,3.6,14,14,146,19,18,1975,42,36,730,3898,4342,臺中市,2018,5
2018.06,1.624,1279865,97.88,3.6,15,14,141,19,19,1781,44,39,722,2922,3375,臺中市,2018,6
2018.07,1.62,1279865,98.22,3.8,15,14,135,20,19,1764,42,36,764,3645,4177,臺中市,2018,7
2018.08,1.626,1279865,98.16,3.8,15,14,126,20,19,1647,44,40,665,3498,4117,臺中市,2018,8
2018.09,1.62,1279865,98.32,3.8,15,14,159,19,18,1755,44,39,732,2835,3104,臺中市,2018,9
2018.1,1.627,1279865,98.39,3.8,14,14,130,21,20,1852,48,40,788,2333,3015,臺中市,2018,1
2018.11,1.626,1279865,97.78,3.8,14,14,119,20,19,1622,43,39,784,2141,3354,臺中市,2018,11
2018.12,1.617,1279865,97.29,3.8,15,15,148,21,20,1878,44,39,834,2706,4490,臺中市,2018,12
2019.01,1.629,1298497,97.19,3.7,15,14,166,20,19,1860,46,40,803,3027,4826,臺中市,2019,1
2019.02,1.638,1298497,98.14,3.7,15,14,91,20,19,1256,44,39,505,2483,3205,臺中市,2019,2
2019.03,1.627,1298497,97.52,3.7,15,14,169,20,19,2358,47,39,912,3077,3728,臺中市,2019,3
2019.04,1.622,1298497,98.25,3.7,14,14,146,20,19,2273,47,43,900,3166,3521,臺中市,2019,4
2019.05,1.622,1298497,98.39,3.7,15,15,165,21,21,2287,45,42,882,3434,3696,臺中市,2019,5
2019.06,1.621,1298497,98.71,3.7,16,15,163,21,21,2288,44,40,851,2927,3226,臺中市,2019,6
2019.07,1.619,1298497,98.6,3.8,16,15,177,22,21,2274,45,42,885,3969,4409,臺中市,2019,7
2019.08,1.624,1298497,98.58,3.8,16,15,126,22,21,2052,45,41,627,3919,4131,臺中市,2019,8
2019.09,1.615,1298497,98.73,3.8,16,16,155,23,22,2290,45,42,874,3342,3785,臺中市,2019,9
2019.1,1.615,1298497,98.75,3.8,16,15,191,22,21,2452,45,41,924,2513,2753,臺中市,2019,1
2019.11,1.617,1298497,98.35,3.8,16,15,195,22,21,2409,47,40,870,2217,2532,臺中市,2019,11
2019.12,1.608,1298497,98.41,3.8,16,15,197,23,21,2432,47,42,925,2273,2492,臺中市,2019,12
2020.01,1.617,1289700,99,3.9,15,15,121,23,21,1498,47,44,637,2874,3066,臺中市,2020,1
2020.02,1.611,1289700,97.94,3.9,16,15,126,22,21,1889,45,40,824,3145,3577,臺中市,2020,2
2020.03,1.593,1289700,97.5,3.9,15,15,166,22,21,2227,48,41,862,3195,3980,臺中市,2020,3
2020.04,1.381,1289700,97.3,3.9,16,16,159,21,21,1669,46,41,783,2919,3190,臺中市,2020,4
2020.05,1.349,1289700,97.2,3.9,16,16,180,22,21,2288,47,42,890,3090,3139,臺中市,2020,5
2020.06,1.359,1289700,97.98,3.9,17,16,214,22,21,2513,47,43,938,2770,3047,臺中市,2020,6
2020.07,1.359,1289700,98.1,3.9,19,17,207,23,22,2749,50,44,1066,3477,3641,臺中市,2020,7
2020.08,1.359,1289700,98.25,3.9,18,17,227,23,23,2854,50,45,1008,3533,3869,臺中市,2020,8
2020.09,1.359,1289700,98.16,3.9,18,17,250,23,22,2541,52,45,998,3225,3578,臺中市,2020,9
2020.1,1.367,1289700,98.49,3.9,18,17,254,24,23,2671,52,46,996,2236,2851,臺中市,2020,1
2020.11,1.361,1289700,98.44,3.9,18,17,227,24,23,2761,49,43,1104,2357,3428,臺中市,2020,11
2020.12,1.356,1289700,98.45,3.9,18,17,226,26,24,2550,50,44,1032,2740,4577,臺中市,2020,12
2021.01,1.362,1304508,98.81,3.9,18,18,204,26,24,2341,53,45,882,2503,3838,臺中市,2021,1
2021.02,1.367,1304508,99.29,3.9,19,18,134,25,24,1596,53,45,568,2319,3439,臺中市,2021,2
2021.03,1.357,1304508,98.69,3.9,19,18,226,24,23,2382,53,49,1097,3248,4324,臺中市,2021,3
2021.04,1.357,1304508,99.35,3.9,18,18,257,24,23,2556,54,48,936,2846,3518,臺中市,2021,4
2021.05,1.35,1304508,99.58,3.9,19,19,209,24,23,1795,54,48,843,2423,2785,臺中市,2021,5
2021.06,1.353,1304508,99.77,3.9,18,18,121,26,24,1201,55,50,590,2389,2710,臺中市,2021,6
2021.07,1.349,1304508,99.97,4,20,18,183,26,24,1854,55,49,824,3151,3725,臺中市,2021,7
2021.08,1.349,1304508,100.55,4,20,19,183,27,25,2346,53,48,837,3365,3999,臺中市,2021,8
2021.09,1.346,1304508,100.71,4,20,19,214,27,25,2766,56,53,1028,3159,3445,臺中市,2021,9
2021.1,1.351,1304508,101,4,21,19,221,27,25,2752,55,51,1038,2545,2995,臺中市,2021,1
2021.11,1.351,1304508,101.24,4,20,20,211,27,27,2722,57,52,884,2546,3177,臺中市,2021,11
2021.12,1.355,1304508,101.04,4,22,21,224,28,26,1995,61,56,815,2774,3489,臺中市,2021,12
2022.01,1.359,1338826,101.61,3.6,23,21,184,28,26,1647,56,52,678,2894,3799,臺中市,2022,1
2022.02,1.367,1338826,101.6,3.6,22,21,138,27,26,1164,55,51,527,2394,3274,臺中市,2022,2
2022.03,1.378,1338826,101.92,3.6,21,21,228,29,26,1970,59,52,807,3607,4328,臺中市,2022,3
2022.04,1.561,1338826,102.7,3.6,22,21,210,28,26,1643,58,53,614,3184,3522,臺中市,2022,4
2022.05,1.601,1338826,102.96,3.6,22,21,168,31,29,1549,58,50,598,3144,3379,臺中市,2022,5
2022.06,1.614,1338826,103.35,3.6,22,20,159,28,27,1159,55,48,567,3064,3231,臺中市,2022,6
2022.07,1.703,1338826,103.32,3.7,22,21,173,28,27,1143,57,55,513,3380,3876,臺中市,2022,7
2022.08,1.729,1338826,103.24,3.7,23,22,125,29,27,905,57,50,410,3097,4063,臺中市,2022,8
2022.09,1.731,1338826,103.49,3.7,22,21,151,29,27,1129,58,52,505,2855,3556,臺中市,2022,9
2022.1,1.827,1338826,103.77,3.7,23,21,159,29,27,1132,69,51,503,1860,2465,臺中市,2022,1
2022.11,1.851,1338826,103.62,3.7,23,22,121,27,26,935,53,46,477,2079,2939,臺中市,2022,11
2022.12,1.864,1338826,103.78,3.7,22,22,112,28,26,972,54,47,471,2730,3885,臺中市,2022,12
2023.01,1.953,1346521,104.71,3.5,20,20,90,28,26,697,55,50,356,2207,3029,臺中市,2023,1
2023.02,1.98,1346521,104.06,3.5,22,22,128,27,25,995,53,46,393,2851,4187,臺中市,2023,2
2023.03,1.985,1346521,104.32,3.5,37,23,143,28,27,1164,56,51,609,3112,4557,臺中市,2023,3
2023.04,2.08,1346521,105.11,3.5,22,22,174,29,27,1266,58,54,488,2318,3197,臺中市,2023,4
2023.05,2.101,1346521,105.04,3.5,22,21,143,28,27,1089,56,54,460,3027,3996,臺中市,2023,5
2023.06,2.098,1346521,105.16,3.5,22,21,127,29,27,1082,61,56,456,2681,3866,臺中市,2023,6
2023.07,2.098,1346521,105.26,3.5,23,23,85,29,27,811,59,54,369,2967,4138,臺中市,2023,7
2023.08,2.091,1346521,105.85,3.5,23,21,142,32,28,1136,56,50,380,3281,4466,臺中市,2023,8
2023.09,2.076,1346521,106.52,3.5,23,23,116,29,28,1031,63,58,381,2927,3731,臺中市,2023,9
2023.1,2.077,1346521,106.92,3.5,24,22,148,30,28,1219,57,54,503,2165,2936,臺中市,2023,1
2023.11,2.071,1346521,106.62,3.5,39,22,155,30,28,1176,60,56,485,2203,2997,臺中市,2023,11
2023.12,2.079,1346521,106.58,3.5,23,22,140,30,29,1367,55,53,540,2068,2890,臺中市,2023,12
2014.01,1.963,1575819,94.18,4,53,52,327,60,55,849,124,99,30,6270,6461,臺北市,2014,1
2014.02,1.97,1575819,93.81,4,50,50,310,66,63,650,146,122,28,6270,6461,臺北市,2014,2
2014.03,1.967,1575819,93.99,4,53,51,539,64,61,1157,173,120,45,6270,6461,臺北市,2014,3
2014.04,1.956,1575819,94.62,4,53,50,533,58,58,1315,204,150,68,6270,6461,臺北市,2014,4
2014.05,1.961,1575819,94.76,4,52,49,446,67,65,936,208,145,57,6270,6461,臺北市,2014,5
2014.06,1.956,1575819,95.25,4,51,48,454,64,62,801,146,98,35,6270,6461,臺北市,2014,6
2014.07,1.958,1575819,95.22,4,52,49,412,62,58,980,156,107,44,6270,6461,臺北市,2014,7
2014.08,1.963,1575819,95.64,4,50,49,387,63,60,771,127,93,38,6270,6461,臺北市,2014,8
2014.09,1.972,1575819,95.59,4,51,47,471,64,62,745,121,93,51,6270,6461,臺北市,2014,9
2014.1,1.977,1575819,95.66,4,50,48,497,63,59,895,132,101,56,6270,6461,臺北市,2014,1
2014.11,1.959,1575819,94.78,4,51,48,466,65,63,862,175,114,50,6270,6461,臺北市,2014,11
2014.12,1.962,1575819,94.46,4,47,46,669,64,60,1116,149,96,75,6270,6461,臺北市,2014,12
2015.01,1.985,1581899,93.3,3.7,53,49,328,66,62,585,138,83,25,5720,5887,臺北市,2015,1
2015.02,1.984,1581899,93.62,3.7,54,49,191,64,61,387,136,105,26,4895,4505,臺北市,2015,2
2015.03,1.99,1581899,93.41,3.7,52,50,388,66,64,803,161,130,34,7069,7044,臺北市,2015,3
2015.04,1.986,1581899,93.84,3.7,49,47,366,64,61,822,114,90,30,6760,6089,臺北市,2015,4
2015.05,1.981,1581899,94.07,3.7,52,50,409,66,61,694,137,110,30,7613,6435,臺北市,2015,5
2015.06,1.983,1581899,94.72,3.7,50,48,344,65,62,731,153,136,36,6787,5673,臺北市,2015,6
2015.07,1.976,1581899,94.62,3.9,49,47,386,64,61,696,135,110,38,8086,5754,臺北市,2015,7
2015.08,1.974,1581899,95.21,3.9,51,46,343,61,59,619,404,114,39,7484,5263,臺北市,2015,8
2015.09,1.964,1581899,95.87,3.9,49,45,327,62,57,737,100,80,116,7314,5341,臺北市,2015,9
2015.1,1.911,1581899,95.95,3.9,49,44,488,61,59,794,129,103,44,5073,4742,臺北市,2015,1
2015.11,1.906,1581899,95.29,3.9,49,44,546,58,55,982,132,109,73,4673,4537,臺北市,2015,11
2015.12,1.895,1581899,94.58,3.9,46,45,574,60,56,1081,159,115,103,4784,4776,臺北市,2015,12
2016.01,1.852,1568945,94.05,3.8,50,47,257,60,56,432,152,129,26,5430,4785,臺北市,2016,1
2016.02,1.835,1568945,95.88,3.8,49,47,151,63,60,277,130,111,8,5053,4218,臺北市,2016,2
2016.03,1.816,1568945,95.29,3.8,47,45,278,63,59,570,159,118,34,6839,6366,臺北市,2016,3
2016.04,1.74,1568945,95.6,3.8,50,46,353,55,56,840,149,91,28,6401,4872,臺北市,2016,4
2016.05,1.731,1568945,95.23,3.8,49,46,379,62,59,900,129,115,49,8022,6122,臺北市,2016,5
2016.06,1.724,1568945,95.57,3.8,50,47,360,61,59,682,122,110,27,6436,5226,臺北市,2016,6
2016.07,1.695,1568945,95.79,4,49,47,337,61,58,666,166,93,35,7504,4893,臺北市,2016,7
2016.08,1.684,1568945,95.75,4,47,46,321,63,59,636,119,101,31,8602,5284,臺北市,2016,8
2016.09,1.669,1568945,96.19,4,47,45,331,59,57,570,128,79,23,7524,5039,臺北市,2016,9
2016.1,1.661,1568945,97.58,4,47,46,334,59,58,605,141,122,28,6021,4552,臺北市,2016,1
2016.11,1.678,1568945,97.17,4,47,45,400,64,60,652,139,107,37,6319,4445,臺北市,2016,11
2016.12,1.659,1568945,96.18,4,47,45,417,62,59,795,133,125,46,6060,4650,臺北市,2016,12
2017.01,1.674,1648122,96.16,3.8,48,46,278,61,59,535,156,124,35,5023,3990,臺北市,2017,1
2017.02,1.668,1648122,95.82,3.8,46,43,263,61,58,534,146,96,31,6044,4467,臺北市,2017,2
2017.03,1.665,1648122,95.46,3.8,47,45,387,63,59,786,149,100,44,7591,6093,臺北市,2017,3
2017.04,1.666,1648122,95.69,3.8,47,46,400,61,58,748,135,111,36,6129,4391,臺北市,2017,4
2017.05,1.655,1648122,95.8,3.8,48,45,384,63,59,774,156,109,38,8078,5957,臺北市,2017,5
2017.06,1.647,1648122,96.53,3.8,46,44,357,62,59,739,146,131,28,6736,5207,臺北市,2017,6
2017.07,1.642,1648122,96.53,3.8,48,45,353,62,59,757,97,100,36,7579,4604,臺北市,2017,7
2017.08,1.638,1648122,96.67,3.8,49,46,376,63,60,727,152,101,37,8321,5615,臺北市,2017,8
2017.09,1.633,1648122,96.66,3.8,47,44,316,61,58,662,125,121,39,7644,5121,臺北市,2017,9
2017.1,1.627,1648122,97.26,3.8,48,44,370,61,60,854,140,119,32,4891,4078,臺北市,2017,1
2017.11,1.63,1648122,97.5,3.8,48,45,422,47,46,1268,131,123,26,5495,4575,臺北市,2017,11
2017.12,1.632,1648122,97.35,3.8,47,44,439,61,59,824,142,105,59,5793,4793,臺北市,2017,12
2018.01,1.635,1649348,97.02,3.6,51,47,416,62,59,773,145,121,44,5930,5207,臺北市,2018,1
2018.02,1.633,1649348,97.93,3.6,48,46,235,63,60,459,120,107,26,5102,3649,臺北市,2018,2
2018.03,1.628,1649348,96.98,3.6,48,46,398,61,59,985,130,100,41,8437,6695,臺北市,2018,3
