城市,日期,人口淨流入,房價_平均,前期房價
新北市,2019-01-01,-828,27,25
新北市,2019-04-01,-828,26,25
新北市,2019-12-01,-1137,27,26
新北市,2020-01-01,-956,29,27
新北市,2020-05-01,-2583,27,26
新北市,2020-06-01,-634,28,27
新北市,2020-08-01,-1747,29,28
新北市,2020-12-01,-868,30,28
新北市,2021-01-01,-1418,32,30
新北市,2021-07-01,-1239,29,28
新北市,2021-08-01,-1870,30,29
新北市,2021-11-01,-945,31,30
新北市,2021-12-01,-982,32,31
新北市,2022-03-01,-512,33,32
新北市,2023-01-01,-274,36,32
新北市,2023-03-01,-220,34,32
新北市,2023-04-01,-65,35,34
新北市,2023-06-01,-309,36,34
新北市,2023-08-01,-765,36,35
桃園市,2015-04-01,-4142,22,18
桃園市,2015-12-01,-1902,19,18
桃園市,2016-02-01,-1696,19,17
桃園市,2016-04-01,-1902,18,16
桃園市,2016-06-01,-2289,18,17
桃園市,2017-01-01,-1904,18,17
桃園市,2018-01-01,-1079,19,18
桃園市,2018-06-01,-1866,20,19
桃園市,2018-09-01,-1511,20,19
桃園市,2019-01-01,-1690,20,19
桃園市,2019-03-01,-1692,20,19
桃園市,2019-06-01,-1534,20,19
桃園市,2019-12-01,-858,21,20
桃園市,2020-01-01,-1004,23,20
桃園市,2020-04-01,-1145,21,20
桃園市,2020-06-01,-971,22,21
桃園市,2020-08-01,-1985,23,22
桃園市,2021-01-01,-573,25,22
桃園市,2021-04-01,-608,24,23
桃園市,2021-08-01,-1330,24,23
桃園市,2021-11-01,-663,26,24
桃園市,2022-03-01,-321,26,25
桃園市,2022-05-01,-553,27,26
桃園市,2022-07-01,-1408,27,26
桃園市,2023-01-01,-1396,27,26
桃園市,2023-01-01,-737,30,27
桃園市,2023-03-01,-1208,27,26
桃園市,2023-04-01,-998,28,27
桃園市,2023-06-01,-1237,29,28
桃園市,2023-09-01,-1024,30,29
桃園市,2023-11-01,-869,31,30
臺中市,2014-03-01,-555,19,18
臺中市,2014-09-01,-555,19,17
臺中市,2015-05-01,-992,19,18
臺中市,2015-12-01,-544,19,18
臺中市,2016-02-01,-954,19,18
臺中市,2016-04-01,-942,20,19
臺中市,2017-01-01,-833,19,16
臺中市,2017-05-01,-1047,20,19
臺中市,2017-08-01,-1351,20,19
臺中市,2017-09-01,-773,21,20
臺中市,2018-01-01,-682,21,19
臺中市,2018-04-01,-487,76,19
臺中市,2018-07-01,-532,20,19
臺中市,2018-11-01,-1213,20,19
臺中市,2018-12-01,-1784,21,20
臺中市,2019-01-01,-240,22,20
臺中市,2019-05-01,-262,21,20
臺中市,2019-07-01,-440,22,21
臺中市,2019-09-01,-443,23,22
臺中市,2019-12-01,-219,23,22
臺中市,2020-01-01,-615,24,23
臺中市,2020-05-01,-49,22,21
臺中市,2020-07-01,-164,23,22
臺中市,2020-11-01,-1071,24,23
臺中市,2020-12-01,-1837,26,24
臺中市,2021-01-01,-450,27,26
臺中市,2021-06-01,-321,26,24
臺中市,2021-08-01,-634,27,26
臺中市,2021-12-01,-715,28,27
臺中市,2022-01-01,-605,29,28
臺中市,2022-03-01,-721,29,27
臺中市,2022-05-01,-235,31,28
臺中市,2022-08-01,-966,29,28
臺中市,2022-12-01,-1155,28,27
臺中市,2023-01-01,-771,30,28
臺中市,2023-03-01,-1445,28,27
臺中市,2023-04-01,-879,29,28
臺中市,2023-06-01,-1185,29,28
臺中市,2023-08-01,-1185,32,29
臺中市,2023-11-01,-794,30,29
臺北市,2014-01-01,-191,63,60
臺北市,2014-02-01,-191,66,63
臺北市,2014-05-01,-191,67,58
臺北市,2014-08-01,-191,63,62
臺北市,2014-09-01,-191,64,63
臺北市,2014-11-01,-191,65,64
臺北市,2015-01-01,-167,66,64
臺南市,2016-06-01,-32,14,13
臺南市,2016-12-01,-19,15,13
臺南市,2017-01-01,-130,15,14
臺南市,2017-08-01,-107,15,14
臺南市,2019-04-01,-113,16,15
臺南市,2019-11-01,-103,17,16
臺南市,2020-03-01,-31,17,16
臺南市,2020-07-01,-50,18,17
臺南市,2020-08-01,-155,19,18
臺南市,2021-01-01,-86,18,17
臺南市,2021-08-01,-320,20,18
臺南市,2022-01-01,-50,24,21
臺南市,2022-03-01,-229,21,20
臺南市,2022-05-01,-216,22,21
臺南市,2022-08-01,-303,23,22
臺南市,2022-12-01,-217,23,22
臺南市,2023-01-01,-154,25,23
臺南市,2023-03-01,-456,24,22
臺南市,2023-04-01,-410,25,24
臺南市,2023-06-01,-253,25,24
臺南市,2023-11-01,-137,25,24
高雄市,2016-03-01,-82,17,16
高雄市,2018-12-01,-128,18,17
高雄市,2019-03-01,-115,18,17
高雄市,2019-04-01,-186,19,18
高雄市,2019-07-01,-437,19,18
高雄市,2020-01-01,-1469,19,18
